measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,161,Bangladesh,3,Both,22,All ages,498,Hypertensive heart disease,2,Percent,1990,0.007026847703696128,0.009786902401707558,0.003933064990066992
1,Deaths,145,Kuwait,3,Both,22,All ages,587,Diabetes mellitus,2,Percent,1990,0.026610193132025523,0.029299949222177848,0.024231245719405377
1,Deaths,66,Brunei Darussalam,3,Both,22,All ages,498,Hypertensive heart disease,2,Percent,1990,0.014931709179199733,0.01790250849581635,0.012363665780934348
1,Deaths,82,Greece,3,Both,22,All ages,498,Hypertensive heart disease,2,Percent,1990,0.01220779453811637,0.014720113855396278,0.010355342997207601
1,Deaths,161,Bangladesh,3,Both,22,All ages,587,Diabetes mellitus,2,Percent,1990,0.010744289923762055,0.012291378809865004,0.009062817795557227
1,Deaths,194,Lesotho,3,Both,22,All ages,587,Diabetes mellitus,2,Percent,1990,0.026364640127822317,0.030558042051481882,0.0223046440921455
1,Deaths,114,Haiti,3,Both,22,All ages,498,Hypertensive heart disease,2,Percent,1990,0.014729303270696109,0.026098690999142776,0.009661393223854937
1,Deaths,189,United Republic of Tanzania,3,Both,22,All ages,587,Diabetes mellitus,2,Percent,1992,0.010258350095141679,0.011662945210284973,0.008874776157671398
1,Deaths,177,Djibouti,3,Both,22,All ages,498,Hypertensive heart disease,2,Percent,1990,0.012018836248374515,0.01682028470768962,0.007160606109084759
1,Deaths,98,Chile,3,Both,22,All ages,498,Hypertensive heart disease,2,Percent,1990,0.014141653798343132,0.015556995225291062,0.01149645420357849
1,Deaths,16,Philippines,3,Both,22,All ages,587,Diabetes mellitus,2,Percent,1991,0.02823627437408311,0.0306918052640035,0.025878914909589112
1,Deaths,210,Liberia,3,Both,22,All ages,498,Hypertensive heart disease,2,Percent,1990,0.004269843422464122,0.005607455991383562,0.0026736552674736453
1,Deaths,194,Lesotho,3,Both,22,All ages,498,Hypertensive heart disease,2,Percent,1990,0.019337240283239306,0.023997680909532994,0.015589415286490353
1,Deaths,177,Djibouti,3,Both,22,All ages,587,Diabetes mellitus,2,Percent,1990,0.009900950723821545,0.012374764374178709,0.00813680981106905
1,Deaths,66,Brunei Darussalam,3,Both,22,All ages,587,Diabetes mellitus,2,Percent,1990,0.08338753158500646,0.09765400974024549,0.07303170190125136
1,Deaths,19,Timor-Leste,3,Both,22,All ages,498,Hypertensive heart disease,2,Percent,1990,0.006707851281253654,0.009901057835775893,0.003844036083695044
1,Deaths,98,Chile,3,Both,22,All ages,587,Diabetes mellitus,2,Percent,1990,0.020097232872088484,0.02095771795565745,0.019190434385439856
1,Deaths,130,Mexico,3,Both,22,All ages,587,Diabetes mellitus,2,Percent,1990,0.06078293161670681,0.06316572518434364,0.05816804171684749
1,Deaths,305,Bermuda,3,Both,22,All ages,498,Hypertensive heart disease,2,Percent,1990,0.011538074378335752,0.01315672556292615,0.00837470075384967
1,Deaths,93,Sweden,3,Both,22,All ages,587,Diabetes mellitus,2,Percent,1992,0.016300572442091002,0.017458084922635158,0.01488978755344238
1,Deaths,19,Timor-Leste,3,Both,22,All ages,587,Diabetes mellitus,2,Percent,1990,0.00811365008430636,0.009970674059791738,0.0064111040339759635
1,Deaths,146,Lebanon,3,Both,22,All ages,587,Diabetes mellitus,2,Percent,1990,0.019369910418127412,0.021379307619110707,0.01764786023332949
1,Deaths,130,Mexico,3,Both,22,All ages,498,Hypertensive heart disease,2,Percent,1990,0.009204998016824326,0.009940988622702011,0.006607278567014828
1,Deaths,99,Uruguay,3,Both,22,All ages,498,Hypertensive heart disease,2,Percent,1990,0.010745480531270384,0.013048686062968445,0.00946994993107744
1,Deaths,14,Maldives,3,Both,22,All ages,587,Diabetes mellitus,2,Percent,1992,0.020523821220803824,0.027027170609234586,0.01684539627693181
1,Deaths,83,Iceland,3,Both,22,All ages,498,Hypertensive heart disease,2,Percent,1990,0.0061050272136082325,0.007817177038752003,0.005114135929336893
1,Deaths,35,Georgia,3,Both,22,All ages,498,Hypertensive heart disease,2,Percent,1990,0.013263079653927302,0.02732195058383557,0.00985784558501522
1,Deaths,210,Liberia,3,Both,22,All ages,587,Diabetes mellitus,2,Percent,1990,0.008254355332551512,0.009506925351177312,0.007037427162707753
1,Deaths,131,Nicaragua,3,Both,22,All ages,498,Hypertensive heart disease,2,Percent,1990,0.01059865262653074,0.011875485333159706,0.00900907725407058
1,Deaths,114,Haiti,3,Both,22,All ages,587,Diabetes mellitus,2,Percent,1990,0.0312829492261125,0.03864030569162321,0.024715489420291677
1,Deaths,162,Bhutan,3,Both,22,All ages,587,Diabetes mellitus,2,Percent,1990,0.007256148669429932,0.00912235315919829,0.005369524091554001
1,Deaths,80,France,3,Both,22,All ages,587,Diabetes mellitus,2,Percent,1991,0.014464309460356881,0.015368387320145496,0.01315428854907125
